,Title,Release Year,Age Restriction,Duration,Genre,Rating,Number of Votes,Meta Score,Language,Country of Origin,Companies,Budget,Gross (worldwide)
297,Charlie and the Chocolate Factory,2005,PG,1h 55m,Adventure~Comedy~Family,6.7,529K,72,English,United States~United Kingdom,Warner Bros.~Village Roadshow Pictures~The Zanuck Company,"$150,000,000","$474,968,763"
298,Mission: Impossible - Ghost Protocol,2011,PG-13,2h 12m,Action~Adventure~Thriller,7.4,528K,73,English~Russian~French~Arabic~Swedish,United States~United Arab Emirates,Paramount Pictures~Skydance Media~TC Productions,"$145,000,000","$694,713,380"
299,Edward Scissorhands,1990,PG-13,1h 45m,Drama~Fantasy~Romance,7.9,523K,74,English,United States,Twentieth Century Fox,"$20,000,000","$86,024,005"
300,The Incredible Hulk,2008,PG-13,1h 52m,Action~Adventure~Sci-Fi,6.6,523K,61,English~Portuguese~Spanish,United States~Canada,Universal Pictures~Marvel Studios~Valhalla Motion Pictures,"$150,000,000","$264,770,996"
301,Rear Window,1954,PG,1h 52m,Mystery~Thriller,8.5,522K,100,English,United States,Alfred J. Hitchcock Productions,"$1,000,000","$37,040,788"
302,Kung Fu Panda,2008,PG,1h 32m,Animation~Action~Adventure,7.6,521K,74,English,United States,DreamWorks Animation~Dragon Warrior Media,"$130,000,000","$632,091,832"
303,The Butterfly Effect,2004,R,1h 53m,Drama~Sci-Fi~Thriller,7.6,521K,30,English,United States~Canada,BenderSpink~FilmEngine~Katalyst Films,"$13,000,000","$96,822,421"
304,Aquaman,2018,PG-13,2h 23m,Action~Adventure~Fantasy,6.8,520K,55,English~Russian~Maori~Italian,United States~Australia,Warner Bros.~DC Entertainment~The Safran Company,"$160,000,000","$1,152,028,393"
305,Dallas Buyers Club,2013,R,1h 57m,Biography~Drama,7.9,519K,77,English~Japanese,United States,Truth Entertainment (II)~Voltage Pictures~r2 films,"$5,000,000","$55,198,285"
306,Ice Age,2002,PG,1h 21m,Animation~Adventure~Comedy,7.5,519K,61,English,United States~France~Canada,Twentieth Century Fox~Blue Sky Studios~Twentieth Century Fox Animation,"$59,000,000","$383,257,136"
307,Little Miss Sunshine,2006,R,1h 41m,Comedy~Drama,7.8,518K,80,English,United States,Searchlight Pictures~Big Beach~Bona Fide Productions,"$8,000,000","$101,059,124"
308,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,Comedy~War,8.4,518K,97,English~Russian,United Kingdom~United States,Stanley Kubrick Productions,"$1,800,000","$9,529,170"
309,Rush,2013,R,2h 3m,Action~Biography~Drama,8.1,513K,74,English~German~Italian~French~Spanish,United Kingdom~United States,Exclusive Media Group~Cross Creek Pictures~Imagine Entertainment,"$38,000,000","$96,992,516"
310,Hancock,2008,R,1h 32m,Action~Comedy~Drama,6.4,511K,49,English~Japanese~Vietnamese,United States,Columbia Pictures~Relativity Media~Blue Light,"$150,000,000","$629,443,428"
311,John Wick: Chapter 2,2017,R,2h 2m,Action~Crime~Thriller,7.4,511K,75,English~Italian~Russian~Sign Languages~Hebrew,United States~Italy~Hong Kong~Canada,Summit Entertainment~TIK Films~Thunder Road Pictures,"$40,000,000","$174,348,632"
312,The Maze Runner,2014,PG-13,1h 53m,Action~Mystery~Sci-Fi,6.8,509K,57,English,United States~United Kingdom,Twentieth Century Fox~Gotham Group~Temple Hill Entertainment,"$34,000,000","$348,319,861"
313,Fantastic Beasts and Where to Find Them,2016,PG-13,2h 12m,Adventure~Family~Fantasy,7.2,507K,66,English~Central Khmer,United Kingdom~United States,Warner Bros.~Heyday Films,"$180,000,000","$816,037,575"
314,The Fifth Element,1997,PG-13,2h 6m,Action~Adventure~Sci-Fi,7.6,506K,52,Arabic~Egyptian (Ancient)~English~Swedish~German,France~United Kingdom~United States,Gaumont~Pinewood Studios,"FRF 75,210,000","$263,920,180"
315,Shrek 2,2004,PG,1h 33m,Animation~Adventure~Comedy,7.3,504K,75,English,United States,Dreamworks Pictures~DreamWorks Animation~Pacific Data Images (PDI),"$150,000,000","$931,133,757"
316,The Hunger Games: Mockingjay - Part 1,2014,PG-13,2h 3m,Action~Adventure~Sci-Fi,6.6,502K,64,English,United States~Canada~France,Lionsgate Films~Color Force~French Tax Credit,"$125,000,000","$759,159,711"
317,Top Gun,1986,PG,1h 49m,Action~Drama,6.9,502K,50,English,United States,Paramount Pictures~Don Simpson/Jerry Bruckheimer Films,"$15,000,000","$357,288,178"
318,Spotlight,2015,R,2h 9m,Biography~Crime~Drama,8.1,502K,93,English,United States,Participant~First Look Media~Anonymous Content,"$20,000,000","$98,690,254"
319,Big Hero 6,2014,PG,1h 42m,Animation~Action~Adventure,7.8,501K,74,English,United States,Walt Disney Animation Studios~Walt Disney Pictures,"$165,000,000","$657,870,525"
320,American Hustle,2013,R,2h 18m,Crime~Drama,7.2,500K,90,English~Arabic,United States~China,Columbia Pictures~Annapurna Pictures~Atlas Entertainment,"$40,000,000","$251,171,807"
321,Warrior,2011,PG-13,2h 20m,Action~Drama~Sport,8.1,497K,71,English~Spanish,United States,Lionsgate Films~Mimran Schur Pictures~Solaris,"$25,000,000","$23,308,615"
322,Star Trek Into Darkness,2013,PG-13,2h 12m,Action~Adventure~Sci-Fi,7.7,497K,72,English~Klingon,United States,Paramount Pictures~Skydance Media~Bad Robot,"$190,000,000","$467,365,246"
323,The Terminal,2004,PG-13,2h 8m,Comedy~Drama~Romance,7.4,495K,55,English~Bulgarian~Spanish~Russian~Mandarin~German~French,United States,Dreamworks Pictures~Amblin Entertainment~Parkes/MacDonald Image Nation,"$60,000,000","$219,100,084"
324,The Girl with the Dragon Tattoo,2011,R,2h 38m,Crime~Drama~Mystery,7.8,494K,71,English~Swedish,United States~Sweden~Norway,Columbia Pictures~Metro-Goldwyn-Mayer (MGM)~Scott Rudin Productions,"$90,000,000","$232,617,430"
325,Tangled,2010,PG,1h 40m,Animation~Adventure~Comedy,7.7,494K,71,English~German,United States~Japan,Walt Disney Animation Studios~Walt Disney Pictures,"$260,000,000","$592,472,813"
326,Avatar: The Way of Water,2022,PG-13,3h 12m,Action~Adventure~Fantasy,7.6,493K,67,English,United States,20th Century Studios~TSG Entertainment~Lightstorm Entertainment,"$350,000,000","$2,320,250,281"
327,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,2h 21m,Action~Adventure~Fantasy,6.4,493K,53,English,United States,Lucasfilm~Walt Disney Pictures~Bad Robot,"$275,000,000","$1,077,022,372"
328,The Help,2011,PG-13,2h 26m,Drama,8.1,492K,62,English,United States~India,DreamWorks~Dreamworks Pictures~Reliance Film & Entertainment,"$25,000,000","$216,639,112"
329,Captain Phillips,2013,PG-13,2h 14m,Action~Biography~Crime,7.8,492K,82,English~Somali,United States,Scott Rudin Productions~Michael De Luca Productions~Trigger Street Productions,"$55,000,000","$218,791,811"
330,The Wolverine,2013,PG-13,2h 6m,Action~Sci-Fi,6.7,492K,61,English~Japanese,United States~United Kingdom,Twentieth Century Fox~Marvel Entertainment~Donners' Company,"$120,000,000","$414,828,246"
331,Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,2h 2m,Action~Adventure,6.2,491K,65,English~German~Russian,United States,Paramount Pictures~Lucasfilm~The Kennedy/Marshall Company,"$185,000,000","$786,636,033"
332,Divergent,2014,PG-13,2h 19m,Action~Adventure~Mystery,6.6,489K,48,English~Spanish,United States,Summit Entertainment~Red Wagon Entertainment,"$85,000,000","$288,885,818"
333,Lost in Translation,2003,R,1h 42m,Comedy~Drama,7.7,488K,91,English~Japanese~German~French,United States~Japan,Focus Features~Tohokushinsha Film Corporation (TFC)~American Zoetrope,"$4,000,000","$118,688,756"
334,Twilight,2008,PG-13,2h 2m,Drama~Fantasy~Romance,5.3,487K,56,English,United States,Summit Entertainment~Temple Hill Entertainment~Maverick Films,"$37,000,000","$408,491,728"
335,The Bourne Supremacy,2004,PG-13,1h 48m,Action~Mystery~Thriller,7.7,487K,73,English~Russian~German~Italian,United States~Germany,Universal Pictures~Motion Picture THETA Produktionsgesellschaft~The Kennedy/Marshall Company,"$75,000,000","$290,835,269"
336,We're the Millers,2013,R,1h 50m,Comedy~Crime,7.0,486K,44,English~Spanish,United States~United Kingdom,New Line Cinema~Newman/Tooley Films~Slap Happy Productions (II),"$37,000,000","$269,994,119"
337,Mystic River,2003,R,2h 18m,Crime~Drama~Mystery,7.9,485K,84,English,United States~Australia,Warner Bros.~Village Roadshow Pictures~NPV Entertainment,"$25,000,000","$156,595,191"
338,Ready Player One,2018,PG-13,2h 20m,Action~Adventure~Sci-Fi,7.4,485K,64,English,United States~India~Singapore~Canada~United Kingdom~Japan~Australia,Warner Bros.~Amblin Entertainment~Village Roadshow Pictures,"$175,000,000","$607,874,422"
339,The Big Short,2015,R,2h 10m,Biography~Comedy~Drama,7.8,484K,81,English,United States,Paramount Pictures~New Regency Productions~Plan B Entertainment,"$28,000,000","$133,440,870"
340,The Theory of Everything,2014,PG-13,2h 3m,Biography~Drama~Romance,7.7,482K,71,English~French~Ukrainian,United Kingdom~Japan,Working Title Films~Dentsu Motion Pictures~Fuji Television Network,"$15,000,000","$123,726,688"
341,Back to the Future Part III,1990,PG,1h 58m,Adventure~Comedy~Sci-Fi,7.4,480K,55,English,United States,Universal Pictures~Amblin Entertainment~U-Drive Productions,"$40,000,000","$245,077,583"
342,Sherlock Holmes: A Game of Shadows,2011,PG-13,2h 9m,Action~Adventure~Mystery,7.4,480K,48,English~French~Italian~German~Romany,United States~United Kingdom,Warner Bros.~Village Roadshow Pictures~Silver Pictures,"$125,000,000","$543,848,418"
343,Beauty and the Beast,1991,G,1h 24m,Animation~Family~Fantasy,8.0,479K,95,English~French,United States~Japan,Walt Disney Pictures~Silver Screen Partners IV~Walt Disney Animation Studios,"$25,000,000","$424,967,620"
344,Justice League,2017,PG-13,2h,Action~Adventure~Fantasy,6.1,478K,45,English~Irish Gaelic~Russian~Icelandic,United States~Canada~United Kingdom,Warner Bros.~RatPac Entertainment~DC Entertainment,"$300,000,000","$661,326,987"
345,Doctor Strange in the Multiverse of Madness,2022,PG-13,2h 6m,Action~Adventure~Fantasy,6.9,477K,60,English~Spanish~Chinese,United States,Marvel Studios,"$200,000,000","$955,775,804"
346,Sicario,2015,R,2h 1m,Action~Crime~Drama,7.7,476K,82,English~Spanish~Ukrainian,United States~Mexico~Hong Kong,Lionsgate Films~Black Label Media~Thunder Road Pictures,"$30,000,000","$84,997,446"
347,The Day After Tomorrow,2004,PG-13,2h 4m,Action~Adventure~Sci-Fi,6.5,476K,47,English~Japanese~French~Arabic,United States,Twentieth Century Fox~Centropolis Entertainment~Lionsgate Films,"$125,000,000","$552,639,571"
348,War of the Worlds,2005,PG-13,1h 56m,Action~Adventure~Sci-Fi,6.5,475K,73,English~Czech~Hungarian,United States~Canada~Japan,Paramount Pictures~Dreamworks Pictures~Amblin Entertainment,"$132,000,000","$603,873,504"
349,The Hurt Locker,2008,R,2h 11m,Drama~Thriller~War,7.5,473K,95,English~Arabic,United States~Luxembourg,Voltage Pictures~Grosvenor Park Media~Film Capital Europe Funds (FCEF ),"$15,000,000","$49,259,766"
350,Gangs of New York,2002,R,2h 47m,Crime~Drama,7.5,472K,72,English~Irish Gaelic~Chinese~Latin,United States~Italy,Miramax~Initial Entertainment Group (IEG)~Alberto Grimaldi Productions,"$100,000,000","$193,772,504"
351,Training Day,2001,R,2h 2m,Crime~Drama~Thriller,7.7,472K,71,English~Russian~Spanish~Korean~Greek,United States,Warner Bros.~Village Roadshow Pictures~NPV Entertainment,"$45,000,000","$104,876,233"
352,Ford v Ferrari,2019,PG-13,2h 32m,Action~Biography~Drama,8.1,472K,81,English~Italian~French~Japanese,United States,Chernin Entertainment~TSG Entertainment~Turnpike Films,"$97,600,000","$225,508,210"
353,Elysium,2013,R,1h 49m,Action~Drama~Sci-Fi,6.6,471K,61,English~Spanish~French~Afrikaans,United States~Canada,TriStar Pictures~Media Rights Capital (MRC)~QED International,"$115,000,000","$286,140,700"
354,The Last Samurai,2003,R,2h 34m,Action~Drama,7.8,470K,55,English~Japanese,United States~New Zealand~Japan,Warner Bros.~The Bedford Falls Company~Cruise/Wagner Productions,"$140,000,000","$454,627,263"
355,Quantum of Solace,2008,PG-13,1h 46m,Action~Adventure~Mystery,6.5,470K,58,English~Spanish~Italian~French~Swiss German~German,United States~United Kingdom,Metro-Goldwyn-Mayer (MGM)~Columbia Pictures~Eon Productions,"$200,000,000","$589,593,688"
356,Mission: Impossible,1996,PG-13,1h 50m,Action~Adventure~Thriller,7.2,470K,59,English~French~Czech,United States,Paramount Pictures~Cruise/Wagner Productions,"$80,000,000","$457,696,391"
357,Horrible Bosses,2011,R,1h 38m,Comedy~Crime,6.9,469K,57,English,United States,New Line Cinema~Rat Entertainment,"$35,000,000","$209,838,559"
358,Cars,2006,G,1h 56m,Animation~Adventure~Comedy,7.2,469K,73,English~Italian~Japanese~Yiddish,United States,Pixar Animation Studios~Walt Disney Pictures,"$120,000,000","$461,996,328"
359,Dawn of the Planet of the Apes,2014,PG-13,2h 10m,Action~Adventure~Drama,7.6,468K,79,English~American Sign Language,United States~United Kingdom~Canada,Chernin Entertainment~Ingenious Media~Soho VFX,"$170,000,000","$710,644,566"
360,The 40-Year-Old Virgin,2005,R,1h 56m,Comedy~Romance,7.1,466K,73,English~Spanish~Japanese,United States,Universal Pictures~Apatow Productions,"$26,000,000","$177,378,645"
361,Saw,2004,R,1h 43m,Horror~Mystery~Thriller,7.6,466K,46,English,United States,Twisted Pictures~Evolution Entertainment,"$1,200,000","$103,911,669"
362,The Devil Wears Prada,2006,PG-13,1h 49m,Comedy~Drama,6.9,466K,62,English~French,United States~France,Fox 2000 Pictures~Dune Entertainment~Major Studio Partners,"$35,000,000","$326,714,019"
363,Aladdin,1992,G,1h 30m,Animation~Adventure~Comedy,8.0,466K,86,English,United States~Japan,Walt Disney Pictures~Silver Screen Partners IV~Walt Disney Animation Studios,"$28,000,000","$504,050,219"
364,The Thing,1982,R,1h 49m,Horror~Mystery~Sci-Fi,8.2,466K,57,English~Norwegian,United States~Canada,"Universal Pictures~Turman-Foster Company~Province of BC, Ministry of Tourism, Film Promotion Office","$15,000,000","$19,872,469"
365,Spectre,2015,PG-13,2h 28m,Action~Adventure~Thriller,6.8,466K,60,English~German~Italian~Spanish~French~Ukrainian,United Kingdom~United States,B24~Columbia Pictures~Danjaq,"$245,000,000","$880,707,597"
366,Scott Pilgrim vs. the World,2010,PG-13,1h 52m,Action~Comedy~Fantasy,7.6,465K,69,English,United States~United Kingdom~Canada~Japan,Universal Pictures~Marc Platt Productions~Big Talk Productions,"$60,000,000","$51,691,156"
367,Moneyball,2011,PG-13,2h 13m,Biography~Drama~Sport,7.6,464K,87,English,United States,Columbia Pictures~Scott Rudin Productions~Michael De Luca Productions,"$50,000,000","$110,206,216"
368,In Bruges,2008,R,1h 47m,Comedy~Crime~Drama,7.9,461K,67,English,United Kingdom~United States,Focus Features~Film4~Blueprint Pictures,"$15,000,000","$38,938,097"
369,X-Men: Apocalypse,2016,PG-13,2h 24m,Action~Adventure~Sci-Fi,6.9,461K,52,English~Polish~German~Arabic~Egyptian (Ancient),United States,Twentieth Century Fox~Marvel Entertainment~TSG Entertainment,"$178,000,000","$543,934,105"
370,The Mummy,1999,PG-13,2h 4m,Action~Adventure~Fantasy,7.1,460K,48,English~Egyptian (Ancient)~Arabic~Chinese~Hebrew~Hungarian,United States,Universal Pictures~Alphaville Films,"$80,000,000","$416,064,056"
371,Big Fish,2003,PG-13,2h 5m,Adventure~Drama~Fantasy,8.0,459K,58,English~Cantonese,United States,Columbia Pictures~Jinks/Cohen Company~The Zanuck Company,"$70,000,000","$123,235,422"
372,The Da Vinci Code,2006,PG-13,2h 29m,Mystery~Thriller,6.6,458K,46,English~French~Latin~Spanish,United States~Malta~France~United Kingdom,Columbia Pictures~Imagine Entertainment~Skylark Productions,"$125,000,000","$760,006,945"
373,Wreck-It Ralph,2012,PG,1h 41m,Animation~Adventure~Comedy,7.7,458K,72,English,United States,Walt Disney Animation Studios~Walt Disney Pictures,"$165,000,000","$471,222,889"
374,The Exorcist,1973,R,2h 2m,Horror,8.1,454K,83,English~Latin~Greek~French~German~Arabic~Kurdish,United States,Warner Bros.~Hoya Productions,"$11,000,000","$441,306,145"
375,Predator,1987,R,1h 47m,Action~Adventure~Horror,7.8,454K,47,English~Spanish~Russian,United States~Mexico,Twentieth Century Fox~Lawrence Gordon Productions~Silver Pictures,"$15,000,000","$98,268,458"
376,American Gangster,2007,R,2h 37m,Biography~Crime~Drama,7.8,452K,76,English~Thai~Spanish,United States~United Kingdom,Universal Pictures~Imagine Entertainment~Relativity Media,"$100,000,000","$269,755,430"
377,The Princess Bride,1987,PG,1h 38m,Adventure~Comedy~Family,8.0,451K,78,English,United States,Act III Communications~Buttercup Films Ltd.~The Princess Bride Ltd.,"$16,000,000","$30,958,085"
378,Armageddon,1998,PG-13,2h 31m,Action~Adventure~Sci-Fi,6.7,450K,42,English~Russian~Indonesian,United States,Touchstone Pictures~Jerry Bruckheimer Films~Valhalla Motion Pictures,"$140,000,000","$553,712,773"
379,The Cabin in the Woods,2011,R,1h 35m,Horror~Mystery~Thriller,7.0,450K,72,English~Japanese,United States~Canada,Lionsgate Films~Mutant Enemy~Metro-Goldwyn-Mayer (MGM),"$30,000,000","$70,038,838"
380,Room,2015,R,1h 58m,Drama~Thriller,8.1,450K,86,English,Ireland~Canada~United Kingdom~United States,Element Pictures~Bord Scannán na hÉireann / The Irish Film Board~Film4,"$13,000,000","$35,402,766"
381,Midnight in Paris,2011,PG-13,1h 34m,Comedy~Fantasy~Romance,7.6,450K,81,English~French~Spanish~German,Spain~United States~France,Mediapro~Versátil Cinema~Gravier Productions,"$17,000,000","$151,672,318"
382,Ant-Man and the Wasp,2018,PG-13,1h 58m,Action~Adventure~Comedy,7.0,449K,70,English~Spanish~French,United States~Canada,Marvel Studios~Canadian Film or Video Production Tax Credit (CPTC)~The Province of Ontario,"$162,000,000","$622,674,139"
383,Ghostbusters,1984,PG,1h 45m,Action~Comedy~Fantasy,7.8,449K,71,English,United States,Columbia Pictures~Delphi Films~Black Rhino Productions,"$30,000,000","$296,578,797"
384,Crash,2004,R,1h 52m,Crime~Drama~Thriller,7.7,449K,66,English~Persian~Spanish~Mandarin~Korean,United States~Germany~Australia,Bob Yari Productions~DEJ Productions~Blackfriars Bridge Films,"$6,500,000","$98,410,061"
385,Howl's Moving Castle,2004,PG,1h 59m,Animation~Adventure~Family,8.2,448K,82,Japanese,Japan,Buena Vista Home Entertainment~DENTSU Music And Entertainment~Mitsubishi,"$24,000,000","$237,728,734"
386,Tropic Thunder,2008,R,1h 47m,Action~Comedy~War,7.1,448K,71,English~Mandarin,United States~United Kingdom~Germany,Dreamworks Pictures~Red Hour Films~Goldcrest Pictures,"$92,000,000","$195,703,351"
387,The Shape of Water,2017,R,2h 3m,Drama~Fantasy~Romance,7.3,447K,87,English~American Sign Language~Russian~French,United States~Mexico,Double Dare You (DDY)~Searchlight Pictures~TSG Entertainment,"$19,400,000","$195,243,464"
388,Passengers,2016,PG-13,1h 56m,Drama~Romance~Sci-Fi,7.0,447K,41,English~Spanish~Japanese~French,United States~Australia,Columbia Pictures~LStar Capital~Village Roadshow Pictures,"$110,000,000","$303,144,152"
389,King Kong,2005,PG-13,3h 7m,Action~Adventure~Romance,7.2,446K,81,English,United States~New Zealand~Germany,Universal Pictures~WingNut Films~Big Primate Pictures,"$207,000,000","$556,906,378"
390,In Time,2011,PG-13,1h 49m,Action~Sci-Fi~Thriller,6.7,446K,53,English,United States,New Regency Productions~New Regency Productions~Strike Entertainment,"$40,000,000","$173,930,596"
391,28 Days Later,2002,R,1h 53m,Drama~Horror~Sci-Fi,7.5,445K,73,English~Spanish,United Kingdom,DNA Films~British Film Council,"$8,000,000","$84,661,434"
392,No Time to Die,2021,PG-13,2h 43m,Action~Adventure~Thriller,7.3,444K,68,English~French~Italian~Russian~Spanish~Norwegian~German,United Kingdom~United States,Metro-Goldwyn-Mayer (MGM)~Universal Pictures~Eon Productions,"$250,000,000","$774,153,007"
393,The Lost World: Jurassic Park,1997,PG-13,2h 9m,Action~Adventure~Sci-Fi,6.5,444K,59,English~Spanish,United States,Universal Pictures~Amblin Entertainment~Digital Image Associates,"$73,000,000","$618,638,999"
394,Jumanji: Welcome to the Jungle,2017,PG-13,1h 59m,Action~Adventure~Comedy,7.0,442K,58,English,United States~Australia~Canada~Mexico~India~United Kingdom,Columbia Pictures~Matt Tolmach Productions~Radar Pictures,"$90,000,000","$995,340,026"
395,Brave,2012,PG,1h 33m,Animation~Adventure~Comedy,7.1,442K,69,English,United States~Japan,Walt Disney Pictures~Pixar Animation Studios,"$185,000,000","$538,983,207"
396,Borat,2006,R,1h 24m,Comedy,7.4,441K,89,English~Romanian~Hebrew~Polish~Armenian,United States~United Kingdom,Everyman Pictures~Dune Entertainment~Major Studio Partners,"$18,000,000","$262,552,893"
397,Stand by Me,1986,R,1h 29m,Adventure~Comedy~Drama,8.1,441K,75,English,United States,Columbia Pictures~Act III~Act III Communications,"$8,000,000","$52,290,509"
398,Unbreakable,2000,PG-13,1h 46m,Drama~Mystery~Sci-Fi,7.3,441K,62,English,United States,Touchstone Pictures~Blinding Edge Pictures~Barry Mendel Productions,"$75,000,000","$248,118,121"
399,Jojo Rabbit,2019,PG-13,1h 48m,Comedy~Drama~War,7.9,441K,58,English~German,Czech Republic~New Zealand~United States,Searchlight Pictures~TSG Entertainment~Defender Films,"$14,000,000","$93,662,741"
400,Alice in Wonderland,2010,PG,1h 48m,Adventure~Family~Fantasy,6.4,441K,53,English,United States~Italy~Canada~Japan~United Kingdom,Walt Disney Pictures~Roth Films~Team Todd,"$200,000,000","$1,025,468,216"
401,Glass Onion,2022,PG-13,2h 19m,Comedy~Crime~Drama,7.1,440K,81,English~French,United States,Netflix~T-Street,"$40,000,000","$13,280,000"
402,Godzilla,2014,PG-13,2h 3m,Action~Adventure~Sci-Fi,6.4,440K,62,English~Japanese,United States~Japan,Warner Bros.~Legendary Entertainment~Disruption Entertainment,"$160,000,000","$524,978,362"
403,Platoon,1986,R,2h,Drama~War,8.1,439K,92,English~Vietnamese,United States~United Kingdom,Hemdale~Cinema '84~Cinema 86,"$6,000,000","$138,545,632"
404,E.T. the Extra-Terrestrial,1982,PG,1h 55m,Adventure~Family~Sci-Fi,7.9,437K,92,English,United States,Universal Pictures~Amblin Entertainment,"$10,500,000","$792,910,554"
405,Madagascar,2005,PG,1h 26m,Animation~Adventure~Comedy,6.9,437K,57,English~Portuguese~Spanish~German~French~American Sign Language,United States~Canada,DreamWorks Animation~Pacific Data Images (PDI),"$75,000,000","$542,063,846"
406,The Breakfast Club,1985,R,1h 37m,Comedy~Drama,7.8,436K,66,English,United States,Universal Pictures~A&M Films~Channel Productions,"$1,000,000","$51,525,171"
407,Unforgiven,1992,R,2h 10m,Drama~Western,8.2,436K,85,English,United States,Warner Bros.~Malpaso Productions,"$14,400,000","$159,167,799"
408,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,2h 12m,Action~Adventure~Fantasy,7.4,435K,71,English~Mandarin,United States,Walt Disney Pictures~Marvel Studios,"$200,000,000","$432,243,292"
409,This Is the End,2013,R,1h 47m,Comedy~Fantasy,6.6,435K,67,English~Spanish,United States,Columbia Pictures~Point Grey Pictures~Mandate Pictures,"$32,000,000","$126,041,322"
410,Mean Girls,2004,PG-13,1h 37m,Comedy,7.1,435K,66,English~German~Vietnamese~Swahili,United States~Canada,Paramount Pictures~M.G. Films~Broadway Video,"$17,000,000","$130,160,481"
411,3 Idiots,2009,PG-13,2h 50m,Comedy~Drama,8.4,434K,67,Hindi~English,India,Vinod Chopra Productions,"₹550,000,000","$60,262,836"
412,American Pie,1999,R,1h 35m,Comedy,7.0,433K,58,English,United States,Universal Pictures~Zide-Perry Productions~Newmarket Capital Group,"$11,000,000","$235,483,004"
413,Princess Mononoke,1997,PG-13,2h 14m,Animation~Action~Adventure,8.3,433K,76,Japanese,Japan,DENTSU Music And Entertainment~Nibariki~Nippon Television Network (NTV),"¥2,400,000,000","$170,205,792"
414,Bruce Almighty,2003,PG-13,1h 41m,Comedy~Fantasy,6.8,433K,46,English~Spanish,United States,Spyglass Entertainment~Universal Pictures~Shady Acres Entertainment,"$81,000,000","$484,592,874"
415,Collateral,2004,R,2h,Action~Crime~Drama,7.5,433K,71,English~Spanish~French~Korean,United States,Paramount Pictures~Dreamworks Pictures~Parkes/MacDonald Image Nation,"$65,000,000","$220,239,925"
416,Transformers: Dark of the Moon,2011,PG-13,2h 34m,Action~Adventure~Sci-Fi,6.2,432K,42,English~Russian,United States,Paramount Pictures~DreamWorks~Hasbro,"$195,000,000","$1,123,794,079"
417,The Irishman,2019,R,3h 29m,Biography~Crime~Drama,7.8,431K,94,English~Italian~Latin~Spanish~German,United States,Tribeca Productions~Sikelia Productions~Winkler Films,"$159,000,000","$968,853"
418,The Game,1997,R,2h 9m,Drama~Mystery~Thriller,7.7,429K,63,English~Cantonese~German~Spanish~Thai,United States,"Polygram Filmed Entertainment~Propaganda Films~A&B Producoes, Lda.","$50,000,000","$109,423,648"
419,Transformers: Revenge of the Fallen,2009,PG-13,2h 29m,Action~Adventure~Sci-Fi,6.0,428K,35,English~Spanish,United States,Dreamworks Pictures~Paramount Pictures~Tom DeSanto/Don Murphy Production,"$200,000,000","$836,303,693"
420,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,2h 23m,Adventure~Family~Fantasy,6.9,428K,75,English~German~Brazilian Sign Language,United Kingdom~United States,Walt Disney Pictures~Walden Media,"$180,000,000","$745,013,115"
421,Amadeus,1984,PG,2h 40m,Biography~Drama~Music,8.4,427K,87,English~Italian~Latin~German~French,United States~France,The Saul Zaentz Company~AMLF,"$18,000,000","$52,068,956"
422,Vertigo,1958,PG,2h 8m,Mystery~Romance~Thriller,8.3,426K,100,English,United States,Alfred J. Hitchcock Productions,"$2,479,000","$7,804,803"
423,Despicable Me 2,2013,PG,1h 38m,Animation~Adventure~Comedy,7.3,426K,62,Ukrainian~English,United States~France~Japan,Universal Pictures~Illumination Entertainment,"$76,000,000","$970,766,005"
424,Bullet Train,2022,R,2h 7m,Action~Comedy~Thriller,7.3,426K,49,English~Japanese~Spanish~Russian,Japan~United States,87North~CTB Inc.~Hill District Media,"$85,900,000","$239,268,602"
425,Black Widow,2021,PG-13,2h 14m,Action~Adventure~Sci-Fi,6.7,425K,68,English~Russian~Norwegian~Hungarian~Macedonian~Finnish,United States,Marvel Studios,"$200,000,000","$379,751,655"
426,John Wick: Chapter 3 - Parabellum,2019,R,2h 10m,Action~Crime~Thriller,7.4,425K,73,English~Russian~Japanese~Indonesian~Mandarin~Italian~Arabic~Latin,United States,Lionsgate Films~Summit Entertainment~Thunder Road Pictures,"$75,000,000","$328,349,908"
427,Free Guy,2021,PG-13,1h 55m,Action~Adventure~Comedy,7.1,425K,62,English~Japanese~German,United States~Canada,20th Century Studios~Berlanti Productions~21 Laps Entertainment,"$120,000,000","$331,526,598"
428,The Godfather Part III,1990,R,2h 42m,Crime~Drama,7.6,424K,60,Persian~English~Italian~German~Latin,United States,Paramount Pictures~Zoetrope Studios,"$54,000,000","$136,861,392"
429,Black Hawk Down,2001,R,2h 24m,Action~Drama~History,7.7,423K,74,English~Somali~Arabic,United States,Revolution Studios~Jerry Bruckheimer Films~Scott Free Productions,"$92,000,000","$172,989,651"
430,Life of Brian,1979,R,1h 34m,Comedy,8.0,422K,77,English~Latin,United Kingdom,HandMade Films~Python (Monty) Pictures,"$4,000,000","$20,781,763"
